Country Name,Year,Maternal_Mortality_Ratio,Scaled_Maternal_Mortality_Ratio,AVG_Maternal_Mortality_Ratio,STDEV_Maternal_Mortality_Ratio,Z_Score,Is_Outlier,Is Duplicate Row?,Country Code,Region,IncomeGroup
Syrian Arab Republic,1985,55,0.006713078,28.923076923,9.311522617,2.800500428,Potential Outlier,Unique,SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income
Syrian Arab Republic,1986,52,0.006340129,28.923076923,9.311522617,2.478318963,Potential Outlier,Unique,SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income
Syrian Arab Republic,1987,48,0.005842864,28.923076923,9.311522617,2.048743676,Potential Outlier,Unique,SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income
Syrian Arab Republic,1988,44,0.005345599,28.923076923,9.311522617,1.619168389,Normal,Unique,SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income
Syrian Arab Republic,1989,41,0.00497265,28.923076923,9.311522617,1.296986924,Normal,Unique,SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income
Syrian Arab Republic,1990,37,0.004475385,28.923076923,9.311522617,0.867411637,Normal,Unique,SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income
Syrian Arab Republic,1991,35,0.004226753,28.923076923,9.311522617,0.652623994,Normal,Unique,SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income
Syrian Arab Republic,1992,33,0.00397812,28.923076923,9.311522617,0.43783635,Normal,Unique,SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income
Syrian Arab Republic,1993,32,0.003853804,28.923076923,9.311522617,0.330442528,Normal,Unique,SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income
Syrian Arab Republic,1994,32,0.003853804,28.923076923,9.311522617,0.330442528,Normal,Unique,SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income
Syrian Arab Republic,1995,33,0.00397812,28.923076923,9.311522617,0.43783635,Normal,Unique,SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income
